Группа каталога,Тип локации,Регион,Город / кластер,АО Москвы,Район / локация,ЖК,Застройщик,Ссылка на чат,Ссылка исходная,Листы-источники,Строки-источники,Тип списка,Уверенность,Комментарий,slug_chat,slug_group,slug_region,slug_city_cluster,slug_district
Coldy,Москва,Москва,Москва,ЮВАО,Нижегородский,ЖК Найс Лофт,Coldy,https://t.me/JKNiceLoft,https://t.me/JKNiceLoft,"Москва чаты, Сдача по чатам",Москва чаты:116; Сдача по чатам:38,"delivery, main",high,,zhk-nays-loft,coldy,moskva,moskva,nizhegorodskiy
DOGMA,Московская область,Московская область,Реутов,,,ЖК Evo,DOGMA,https://t.me/JKEvoSosedi,https://t.me/JKEvoSosedi,Москва чаты,Москва чаты:165,main,high,,zhk-evo,dogma,moskovskaya-oblast,reutov,
Element,Другой город/регион,Санкт-Петербург / Ленинградская область,Санкт-Петербург / агломерация,,,"ЖК ""Коллекционный дом 1919""",Element,https://t.me/JKKollektsioniydom1919Sosedi,https://t.me/JKKollektsioniydom1919Sosedi,Питер чаты,Питер чаты:63,main,high,,zhk-kollektsionnyy-dom-1919,element,sankt-peterburg-leningradskaya-oblast,sankt-peterburg-aglomeratsiya,
Element,Другой город/регион,Санкт-Петербург / Ленинградская область,Санкт-Петербург / агломерация,,,ЖК Shepilevskiy,Element,https://t.me/JKShepilevskiySosedi,https://t.me/JKShepilevskiySosedi,Питер чаты,Питер чаты:85,main,high,,zhk-shepilevskiy,element,sankt-peterburg-leningradskaya-oblast,sankt-peterburg-aglomeratsiya,
FORMA,Москва,Москва,Москва,САО,Аэропорт,ЖК SOUL (Соул),FORMA,https://t.me/JKSoulSobstvenniki,https://t.me/JKSoulSobstvenniki,Москва чаты,Москва чаты:76,main,high,,zhk-soul-soul,forma,moskva,moskva,aeroport
FORMA,Москва,Москва,Москва,СЗАО,Щукино,ЖК MOMENTS,FORMA,https://t.me/JKMomentsChat,https://t.me/JKMomentsChat,Москва чаты,Москва чаты:74,main,high,,zhk-moments,forma,moskva,moskva,schukino
FORMA,Москва,Москва,Москва,ЦАО,Пресненский,ЖК Republic (Репаблик),FORMA,https://t.me/JKRepublicS,https://t.me/JKRepublicS,Москва чаты,Москва чаты:255,main,high,,zhk-republic-repablik,forma,moskva,moskva,presnenskiy
FORMA,Москва,Москва,Москва,ЮВАО,Печатники,ЖК Portland (Портланд),FORMA,https://t.me/JKPortlandS,https://t.me/JKPortlandS,Москва чаты,Москва чаты:148,main,high,,zhk-portland-portland,forma,moskva,moskva,pechatniki
Fizika Development,Другой город/регион,Санкт-Петербург / Ленинградская область,Санкт-Петербург / агломерация,,,"ЖК ""Таленто""",Fizika Development,https://t.me/JKTalento,https://t.me/JKTalento,Питер чаты,Питер чаты:116,main,high,,zhk-talento,fizika-development,sankt-peterburg-leningradskaya-oblast,sankt-peterburg-aglomeratsiya,
For Stars,Другой город/регион,Новосибирская область,Новосибирск,,,ЖК FOR STARS,For Stars,https://t.me/JKForstarsJ,https://t.me/JKForstarsJ,Новосибирск чаты,Новосибирск чаты:72,main,high,,zhk-for-stars,for-stars,novosibirskaya-oblast,novosibirsk,
G3 Group,Московская область,Московская область,Раменский г.о.,,Ильинский/Родники,ЖК G3 Театральный,G3 Group,https://t.me/JKG3Teatralnyi,https://t.me/JKG3Teatralnyi,Москва чаты,Москва чаты:173,main,medium,,zhk-g3-teatralnyy,g3-group,moskovskaya-oblast,ramenskiy-g-o,ilinskiy-rodniki
GRAVION,Москва,Москва,Москва,ЮАО,Донской,ЖК Культ,GRAVION,https://t.me/JKCULTChatSobstvennikov,https://t.me/JKCULTChatSobstvennikov,Москва чаты,Москва чаты:113,main,medium,,zhk-kult,gravion,moskva,moskva,donskoy
Gatchina Gardens,Другой город/регион,Санкт-Петербург / Ленинградская область,Санкт-Петербург / агломерация,,,"ЖК ""Gatchina Gardens""",Gatchina Gardens,https://t.me/JKGatchinaGardensSosedi,https://t.me/JKGatchinaGardensSosedi,Питер чаты,Питер чаты:60,main,high,,zhk-gatchina-gardens,gatchina-gardens,sankt-peterburg-leningradskaya-oblast,sankt-peterburg-aglomeratsiya,
GloraX,Новая Москва,Москва,Москва,НАО,Сосенское / Коммунарка,ЖК Smart Garden (Смарт Гарден),GloraX,https://t.me/JKSmartGardenSob,https://t.me/JKSmartGardenSob,Москва чаты,Москва чаты:208,main,high,,zhk-smart-garden-smart-garden,glorax,moskva,moskva,sosenskoe-kommunarka
GloraX,Москва,Москва,Москва,САО,Беговой,ЖК Glorax Premium,GloraX,https://t.me/JKGloraxPremiumsob,https://t.me/JKGloraxPremiumsob,Москва чаты,Москва чаты:62,main,high,,zhk-glorax-premium,glorax,moskva,moskva,begovoy
GloraX,Другой город/регион,Санкт-Петербург / Ленинградская область,Санкт-Петербург / агломерация,,,"ЖК ""Glorax Premium Василеостровский""",GloraX,https://t.me/JKVasileostrovskiySosedi,https://t.me/JKVasileostrovskiySosedi,Питер чаты,Питер чаты:61,main,high,,zhk-glorax-premium-vasileostrovskiy,glorax,sankt-peterburg-leningradskaya-oblast,sankt-peterburg-aglomeratsiya,
GloraX,Другой город/регион,Санкт-Петербург / Ленинградская область,Санкт-Петербург / агломерация,,,"ЖК ""Glorax Новоселье""",GloraX,https://t.me/JKGloraxNovoselieSosedi,https://t.me/JKGloraxNovoselieSosedi,Питер чаты,Питер чаты:65,main,high,,zhk-glorax-novosele,glorax,sankt-peterburg-leningradskaya-oblast,sankt-peterburg-aglomeratsiya,
GloraX,Другой город/регион,Санкт-Петербург / Ленинградская область,Санкт-Петербург / агломерация,,,"ЖК ""Glorax Парголово""",GloraX,https://t.me/JKGloraxPargolovoSosedi,https://t.me/JKGloraxPargolovoSosedi,Питер чаты,Питер чаты:66,main,high,,zhk-glorax-pargolovo,glorax,sankt-peterburg-leningradskaya-oblast,sankt-peterburg-aglomeratsiya,
Golden Age Group,Другой город/регион,Санкт-Петербург / Ленинградская область,Санкт-Петербург / агломерация,,,ЖК Progect 6/3,Golden Age Group,https://t.me/JKProgect63Sosedi,https://t.me/JKProgect63Sosedi,Питер чаты,Питер чаты:90,main,high,,zhk-progect-6-3,golden-age-group,sankt-peterburg-leningradskaya-oblast,sankt-peterburg-aglomeratsiya,
Insigma,Москва,Москва,Москва,ЦАО,Пресненский,ЖК RedSide (РедСайд),Insigma,https://t.me/ChatZKRedSide,https://t.me/ChatZKRedSide,Москва чаты,Москва чаты:9,main,high,,zhk-redside-redsayd,insigma,moskva,moskva,presnenskiy
King&Sons,Москва,Москва,Москва,ЗАО,Раменки,ЖК KING & SONS (Кинг энд Санс),King&Sons,https://t.me/JKKingSons,https://t.me/JKKingSons,Москва чаты,Москва чаты:233,main,medium,,zhk-king-sons-king-end-sans,king-sons,moskva,moskva,ramenki
LAR Development,Другой город/регион,Санкт-Петербург / Ленинградская область,Санкт-Петербург / агломерация,,,"ЖК ""Ranta Residence""",LAR Development,https://t.me/JKRantaResidence,https://t.me/JKRantaResidence,Питер чаты,Питер чаты:118,main,high,,zhk-ranta-residence,lar-development,sankt-peterburg-leningradskaya-oblast,sankt-peterburg-aglomeratsiya,
LEGENDA Intelligent Development,Москва,Москва,Москва,САО,Левобережный,ЖК Северный Порт,LEGENDA Intelligent Development,https://t.me/JKSeverniyPortS,https://t.me/JKSeverniyPortS,Москва чаты,Москва чаты:263,main,high,,zhk-severnyy-port,legenda-intelligent-development,moskva,moskva,levoberezhnyy
LEGENDA Intelligent Development,Другой город/регион,Санкт-Петербург / Ленинградская область,Санкт-Петербург / агломерация,,,"ЖК ""Большой 67""",LEGENDA Intelligent Development,https://t.me/JKBolshoi67Sosedi,https://t.me/JKBolshoi67Sosedi,Питер чаты,Питер чаты:79,main,high,,zhk-bolshoy-67,legenda-intelligent-development,sankt-peterburg-leningradskaya-oblast,sankt-peterburg-aglomeratsiya,
LEGENDA Intelligent Development,Другой город/регион,Санкт-Петербург / Ленинградская область,Санкт-Петербург / агломерация,,,"ЖК ""Лисичанская 22""",LEGENDA Intelligent Development,https://t.me/JKLisichanskaya22Sosedi,https://t.me/JKLisichanskaya22Sosedi,Питер чаты,Питер чаты:69,main,high,,zhk-lisichanskaya-22,legenda-intelligent-development,sankt-peterburg-leningradskaya-oblast,sankt-peterburg-aglomeratsiya,
LEGENDA Intelligent Development,Другой город/регион,Санкт-Петербург / Ленинградская область,Санкт-Петербург / агломерация,,,"ЖК ""Сампсониевский, 32""",LEGENDA Intelligent Development,https://t.me/JKSampsonievskiy,https://t.me/JKSampsonievskiy,Питер чаты,Питер чаты:113,main,high,,zhk-sampsonievskiy-32,legenda-intelligent-development,sankt-peterburg-leningradskaya-oblast,sankt-peterburg-aglomeratsiya,
Level Group,Москва,Москва,Москва,ЗАО,Очаково-Матвеевское,ЖК Level Мичуринский,Level Group,https://t.me/JKLevelMich,https://t.me/JKLevelMich,Москва чаты,Москва чаты:120,main,high,,zhk-level-michurinskiy,level-group,moskva,moskva,ochakovo-matveevskoe
Level Group,Москва,Москва,Москва,ЗАО,Раменки,ЖК Legacy,Level Group,https://t.me/LKLegacy,https://t.me/LKLegacy,Москва чаты,Москва чаты:56,main,high,,zhk-legacy,level-group,moskva,moskva,ramenki
Level Group,Москва,Москва,Москва,САО,Западное Дегунино,ЖК Левел Селигерская,Level Group,https://t.me/JKLevelSel,https://t.me/JKLevelSel,Москва чаты,Москва чаты:121,main,high,,zhk-level-seligerskaya,level-group,moskva,moskva,zapadnoe-degunino
Level Group,Москва,Москва,Москва,СЗАО,Хорошёво-Мнёвники,ЖК Левел Причальный,Level Group,https://t.me/JKLevelPrichalniy,https://t.me/JKLevelPrichalniy,Москва чаты,Москва чаты:100,main,high,,zhk-level-prichalnyy,level-group,moskva,moskva,horoshevo-mnevniki
Level Group,Москва,Москва,Москва,ЦАО,Басманный,ЖК Level Бауманская,Level Group,https://t.me/JKLevelBaumanskayaS,https://t.me/JKLevelBaumanskayaS,Москва чаты,Москва чаты:134,main,high,,zhk-level-baumanskaya,level-group,moskva,moskva,basmannyy
Level Group,Москва,Москва,Москва,ЦАО,Хамовники,ЖК Саввинская 17 от Level,Level Group,https://t.me/ZhKSavvinskaya17otLevelSosedi,https://t.me/ZhKSavvinskaya17otLevelSosedi,Москва чаты,Москва чаты:69,main,high,,zhk-savvinskaya-17-ot-level,level-group,moskva,moskva,hamovniki
Level Group,Москва,Москва,Москва,ЦАО,Хамовники,ЖК Саввинская 27,Level Group,https://t.me/JKSavvinskaya27,https://t.me/JKSavvinskaya27,Москва чаты,Москва чаты:53,main,high,,zhk-savvinskaya-27,level-group,moskva,moskva,hamovniki
Level Group,Москва,Москва,Москва,ЮАО,Нагатино-Садовники,ЖК «Level Нагатинская,Level Group,https://t.me/zhklevelnagatinskaya,https://t.me/zhklevelnagatinskaya,Москва чаты,Москва чаты:8,main,high,,zhk-level-nagatinskaya,level-group,moskva,moskva,nagatino-sadovniki
Level Group,Москва,Москва,Москва,ЮВАО,Нижегородский,ЖК Level Нижегородская,Level Group,https://t.me/JKLevelNizegorodskaaSob,https://t.me/JKLevelNizegorodskaaSob,Москва чаты,Москва чаты:209,main,high,,zhk-level-nizhegorodskaya,level-group,moskva,moskva,nizhegorodskiy
Level Group,Москва,Москва,Москва,ЮВАО,Печатники,ЖК Level Южнопортовая,Level Group,https://t.me/JKLevelYuznPS,https://t.me/JKLevelYuznPS,Москва чаты,Москва чаты:135,main,high,,zhk-level-yuzhnoportovaya,level-group,moskva,moskva,pechatniki
Level Group,Москва,Москва,Москва,ЮЗАО,Академический,ЖК Level Академическая,Level Group,https://t.me/JKLevelAkademich,https://t.me/JKLevelAkademich,Москва чаты,Москва чаты:65,main,high,,zhk-level-akademicheskaya,level-group,moskva,moskva,akademicheskiy
MDS Development,Другой город/регион,Санкт-Петербург / Ленинградская область,Санкт-Петербург / агломерация,,,"ЖК ""Тихий город""",MDS Development,https://t.me/JKTihigorodSosedi,https://t.me/JKTihigorodSosedi,Питер чаты,Питер чаты:32,main,high,,zhk-tihiy-gorod,mds-development,sankt-peterburg-leningradskaya-oblast,sankt-peterburg-aglomeratsiya,
MR Group,Москва,Москва,Москва,ЗАО,Можайский,ЖК Veer (Веер),MR Group,https://t.me/JKVeer,https://t.me/JKVeer,Москва чаты,Москва чаты:268,main,high,,zhk-veer-veer,mr-group,moskva,moskva,mozhayskiy
MR Group,Москва,Москва,Москва,ЗАО,Раменки,ЖК Хайд,MR Group,https://t.me/ZKHideChatSobstvennik0v,https://t.me/ZKHideChatSobstvennik0v,"Москва чаты, Сдача по чатам",Москва чаты:36; Сдача по чатам:24,"delivery, main",high,,zhk-hayd,mr-group,moskva,moskva,ramenki
MR Group,Москва,Москва,Москва,САО,Беговой,ЖК SLAVA (Слава),MR Group,https://t.me/JKSlavaS,https://t.me/JKSlavaS,Москва чаты,Москва чаты:238,main,high,,zhk-slava-slava,mr-group,moskva,moskva,begovoy
MR Group,Москва,Москва,Москва,САО,Савёловский,ЖК SYMPHONY 34 (Симфони 34),MR Group,https://t.me/JKSYmpHony34Sobstvenniki,https://t.me/JKSYmpHony34Sobstvenniki,"Москва чаты, Сдача по чатам",Москва чаты:23; Сдача по чатам:17,"delivery, main",high,,zhk-symphony-34-simfoni-34,mr-group,moskva,moskva,savelovskiy
MR Group,Москва,Москва,Москва,СВАО,Алексеевский,ЖК МИRA (МИРА),MR Group,https://t.me/JKMNRAS,https://t.me/JKMNRAS,Москва чаты,Москва чаты:240,main,medium,,zhk-mira-mira,mr-group,moskva,moskva,alekseevskiy
MR Group,Москва,Москва,Москва,СВАО,Марьина Роща,ЖК MOD (Мод),MR Group,https://t.me/JKMoDSobstvenniki,https://t.me/JKMoDSobstvenniki,Москва чаты,Москва чаты:123,main,high,,zhk-mod-mod,mr-group,moskva,moskva,marina-roscha
MR Group,Москва,Москва,Москва,СЗАО,Покровское-Стрешнево,ЖК CITYZEN (Ситизен),MR Group,https://t.me/JKCityzen,https://t.me/JKCityzen,Москва чаты,Москва чаты:251,main,high,,zhk-cityzen-sitizen,mr-group,moskva,moskva,pokrovskoe-streshnevo
MR Group,Москва,Москва,Москва,СЗАО,Покровское-Стрешнево,ЖК City Bay,MR Group,https://t.me/ZhKCityBaySosedi,https://t.me/ZhKCityBaySosedi,Москва чаты,Москва чаты:89,main,high,,zhk-city-bay,mr-group,moskva,moskva,pokrovskoe-streshnevo
MR Group,Москва,Москва,Москва,СЗАО,Хорошёво-Мнёвники,ЖК JOIS,MR Group,https://t.me/JKJoisChat,https://t.me/JKJoisChat,Москва чаты,Москва чаты:256,main,high,,zhk-jois,mr-group,moskva,moskva,horoshevo-mnevniki
MR Group,Москва,Москва,Москва,ЦАО,Арбат,ЖК LUCE,MR Group,https://t.me/ZhKLUCESosedi,https://t.me/ZhKLUCESosedi,Москва чаты,Москва чаты:193,main,high,,zhk-luce,mr-group,moskva,moskva,arbat
MR Group,Москва,Москва,Москва,ЦАО,Тверской,ЖК Форум,MR Group,https://t.me/JKForumSob,https://t.me/JKForumSob,Москва чаты,Москва чаты:75,main,medium,,zhk-forum,mr-group,moskva,moskva,tverskoy
MR Group,Москва,Москва,Москва,ЮАО,Даниловский,ЖК Павелецкая Сити,MR Group,https://t.me/PavelecCitY,https://t.me/PavelecCitY,"Москва чаты, Сдача по чатам",Москва чаты:98; Сдача по чатам:20,"delivery, main",high,,zhk-paveletskaya-siti,mr-group,moskva,moskva,danilovskiy
Magnum Development,Москва,Москва,Москва,ЗАО,Раменки,ЖК Liberty,Magnum Development,https://t.me/JKLibertyChat,https://t.me/JKLibertyChat,"Москва чаты, Сдача по чатам",Москва чаты:119; Сдача по чатам:46,"delivery, main",medium,,zhk-liberty,magnum-development,moskva,moskva,ramenki
October Group,Москва,Москва,Москва,ЗАО,Раменки,ЖК Stories на Мосфильмовской,October Group,https://t.me/JKStoriesnaMosfilmovskoiSob,https://t.me/JKStoriesnaMosfilmovskoiSob,Москва чаты,Москва чаты:166,main,high,,zhk-stories-na-mosfilmovskoy,october-group,moskva,moskva,ramenki
PIONEER,Москва,Москва,Москва,СВАО,Марьина Роща,ЖК PRIDE (Прайд),PIONEER,https://t.me/JKPrideSobstvenniki,https://t.me/JKPrideSobstvenniki,Москва чаты,Москва чаты:130,main,high,,zhk-pride-prayd,pioneer,moskva,moskva,marina-roscha
PIONEER,Москва,Москва,Москва,ЦАО,Замоскворечье,ЖК Клубный дом OPUS,PIONEER,https://t.me/ZhKKlubnyydomOPUSSosedi,https://t.me/ZhKKlubnyydomOPUSSosedi,Москва чаты,Москва чаты:140,main,high,,zhk-klubnyy-dom-opus,pioneer,moskva,moskva,zamoskvoreche
PIONEER,Москва,Москва,Москва,ЮАО,Даниловский,"ЖК HIGH LIFE Летниковская, 11",PIONEER,https://t.me/JKHighLife,https://t.me/JKHighLife,Москва чаты,Москва чаты:259,main,high,,zhk-high-life-letnikovskaya-11,pioneer,moskva,moskva,danilovskiy
PIONEER,Москва,Москва,Москва,ЮАО,Донской,ЖК SHIFT (Шифт),PIONEER,https://t.me/JKShiftS,https://t.me/JKShiftS,Москва чаты,Москва чаты:265,main,high,,zhk-shift-shift,pioneer,moskva,moskva,donskoy
PRINZIP,Другой город/регион,Свердловская область,Екатеринбург,,,Риверсайд,PRINZIP,https://t.me/JKRiverside,https://t.me/JKRiverside,Екатеринбург чаты,Екатеринбург чаты:63,main,high,,riversayd,prinzip,sverdlovskaya-oblast,ekaterinburg,
Prospect Group,Другой город/регион,Свердловская область,Екатеринбург,,,Гранит,Prospect Group,https://t.me/JKGranitj,https://t.me/JKGranitj,Екатеринбург чаты,Екатеринбург чаты:38,main,high,,granit,prospect-group,sverdlovskaya-oblast,ekaterinburg,
RBI,Другой город/регион,Санкт-Петербург / Ленинградская область,Санкт-Петербург / агломерация,,,"ЖК ""Куинджи""",RBI,https://t.me/JKkuindzhi,https://t.me/JKkuindzhi,Питер чаты,Питер чаты:92,main,high,,zhk-kuindzhi,rbi,sankt-peterburg-leningradskaya-oblast,sankt-peterburg-aglomeratsiya,
RBI,Другой город/регион,Санкт-Петербург / Ленинградская область,Санкт-Петербург / агломерация,,,"ЖК ""Литера""",RBI,https://t.me/JKLiteraSosedi,https://t.me/JKLiteraSosedi,Питер чаты,Питер чаты:124,main,high,,zhk-litera,rbi,sankt-peterburg-leningradskaya-oblast,sankt-peterburg-aglomeratsiya,
RBI,Другой город/регион,Санкт-Петербург / Ленинградская область,Санкт-Петербург / агломерация,,,ЖК Ultra City 3.0,RBI,https://t.me/JKUltraCity30Sosedi,https://t.me/JKUltraCity30Sosedi,Питер чаты,Питер чаты:123,main,high,,zhk-ultra-city-3-0,rbi,sankt-peterburg-leningradskaya-oblast,sankt-peterburg-aglomeratsiya,
RBI,Другой город/регион,Санкт-Петербург / Ленинградская область,Санкт-Петербург / агломерация,,,ЖК МИРЪ,RBI,https://t.me/JKMlRSosedi,https://t.me/JKMlRSosedi,Питер чаты,Питер чаты:7,main,high,,zhk-mir,rbi,sankt-peterburg-leningradskaya-oblast,sankt-peterburg-aglomeratsiya,
RBI,Другой город/регион,Санкт-Петербург / Ленинградская область,Санкт-Петербург / агломерация,,,ЖК Струны,RBI,https://t.me/JKStruniy,https://t.me/JKStruniy,Питер чаты,Питер чаты:91,main,high,,zhk-struny,rbi,sankt-peterburg-leningradskaya-oblast,sankt-peterburg-aglomeratsiya,
SD GROUP,Другой город/регион,Новосибирская область,Новосибирск,,,ЖК  Промышленная 7,SD GROUP,https://t.me/JKPromishlenaya7Jiltsi,https://t.me/JKPromishlenaya7Jiltsi,Новосибирск чаты,Новосибирск чаты:62,main,high,,zhk-promyshlennaya-7,sd-group,novosibirskaya-oblast,novosibirsk,
SG Development,Другой город/регион,Новосибирская область,Новосибирск,,,ЖК АЭРОН,SG Development,https://t.me/JKAeron,https://t.me/JKAeron,Новосибирск чаты,Новосибирск чаты:84,main,high,,zhk-aeron,sg-development,novosibirskaya-oblast,novosibirsk,
SKY GROUP,Другой город/регион,Новосибирская область,Новосибирск,,,ЖК Крымский,SKY GROUP,https://t.me/JKKkrimskyJiltsi,https://t.me/JKKkrimskyJiltsi,Новосибирск чаты,Новосибирск чаты:5,main,high,,zhk-krymskiy,sky-group,novosibirskaya-oblast,novosibirsk,
SKY GROUP,Другой город/регион,Новосибирская область,Новосибирск,,,ЖК Салют,SKY GROUP,https://t.me/JKSalutZh,https://t.me/JKSalutZh,Новосибирск чаты,Новосибирск чаты:67,main,high,,zhk-salyut,sky-group,novosibirskaya-oblast,novosibirsk,
Setl Group,Другой город/регион,Санкт-Петербург / Ленинградская область,Санкт-Петербург / агломерация,,,"ЖК ""Astra Marine на набережной""",Setl Group,https://t.me/JKAstraMarineSosedi,https://t.me/JKAstraMarineSosedi,Питер чаты,Питер чаты:53,main,high,,zhk-astra-marine-na-naberezhnoy,setl-group,sankt-peterburg-leningradskaya-oblast,sankt-peterburg-aglomeratsiya,
Setl Group,Другой город/регион,Санкт-Петербург / Ленинградская область,Санкт-Петербург / агломерация,,,"ЖК ""Univer City""",Setl Group,https://t.me/JKUniverCitySosedi,https://t.me/JKUniverCitySosedi,Питер чаты,Питер чаты:47,main,high,,zhk-univer-city,setl-group,sankt-peterburg-leningradskaya-oblast,sankt-peterburg-aglomeratsiya,
Setl Group,Другой город/регион,Санкт-Петербург / Ленинградская область,Санкт-Петербург / агломерация,,,"ЖК ""Астра Континенталь""",Setl Group,https://t.me/JKAstraKont,https://t.me/JKAstraKont,Питер чаты,Питер чаты:102,main,high,,zhk-astra-kontinental,setl-group,sankt-peterburg-leningradskaya-oblast,sankt-peterburg-aglomeratsiya,
Setl Group,Другой город/регион,Санкт-Петербург / Ленинградская область,Санкт-Петербург / агломерация,,,"ЖК ""Бионика Заповедная""",Setl Group,https://t.me/JKBionikaZapovedn,https://t.me/JKBionikaZapovedn,Питер чаты,Питер чаты:104,main,high,,zhk-bionika-zapovednaya,setl-group,sankt-peterburg-leningradskaya-oblast,sankt-peterburg-aglomeratsiya,
Setl Group,Другой город/регион,Санкт-Петербург / Ленинградская область,Санкт-Петербург / агломерация,,,"ЖК ""Парадный ансамбль""",Setl Group,https://t.me/JKParadniAnsamblSosedi,https://t.me/JKParadniAnsamblSosedi,Питер чаты,Питер чаты:11,main,high,,zhk-paradnyy-ansambl,setl-group,sankt-peterburg-leningradskaya-oblast,sankt-peterburg-aglomeratsiya,
Setl Group,Другой город/регион,Санкт-Петербург / Ленинградская область,Санкт-Петербург / агломерация,,,"ЖК ""Прайм Приморский""",Setl Group,https://t.me/JKPraimPrimorskiSosedi,https://t.me/JKPraimPrimorskiSosedi,Питер чаты,Питер чаты:48,main,high,,zhk-praym-primorskiy,setl-group,sankt-peterburg-leningradskaya-oblast,sankt-peterburg-aglomeratsiya,
Setl Group,Другой город/регион,Санкт-Петербург / Ленинградская область,Санкт-Петербург / агломерация,,,"ЖК ""Сенат в Московском""",Setl Group,https://t.me/JKSenatvMoskovskomSosedi,https://t.me/JKSenatvMoskovskomSosedi,Питер чаты,Питер чаты:16,main,high,,zhk-senat-v-moskovskom,setl-group,sankt-peterburg-leningradskaya-oblast,sankt-peterburg-aglomeratsiya,
